SITE_ID,LATITUDE,LONGITUDE,NAME,STATE,LICENSING_AREA_ID,POSTCODE,SITE_PRECISION,ELEVATION,HCIS_L2
134453,-37.814896000000005,144.971668,Optus Site Collins PLace/ANZ Tower 55 Collins St MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
134454,-37.811126,144.96211599999998,Optus Site Melbourne Central Tower 360 Elizabeth St MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
134547,-37.818656,144.956626,Optus Site Minicell - King & Collins 539-557 Collins St MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
134554,-37.817261,144.962515,Optus Site Bridge Information Systems 360 Collins St MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
134565,-37.812845,144.968248,Optus Site Bourke/Russell 175 Bourke St MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
134574,-37.811978,144.96238799999998,Optus Site Lonsdale/Elizabeth Elizabeth & Lonsdale MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
134680,-37.812723,144.960164,Optus Site Queen St 250 Queen St MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
134733,-37.813463,144.973217,Optus Site Minicell - Spring & Collins 14-16 Collins St MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
134754,-37.810996,144.967095,Optus Site Minicell - Lonsdale & Russell 177-183 Lonsdale St MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
134822,-37.814989000000004,144.96090800000002,Optus Site Bourke/Queen St Bourke & Queen Sts MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
134857,-37.82091,144.955155,Optus Site Minicell - Flinders and Spencer 2 Spencer St MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
134872,-37.820122999999995,144.957552,Optus Site Minicell - King & Flinders King & Flinders St MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
134901,-37.812899,144.959886,Optus Site Lonsdale/Queen 250 Queen St MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
134906,-37.811678,144.962783,Optus Site CBD North 360 Elizabeth St MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
134923,-37.819576,144.95985,Optus Site Flinders/William 1 William St MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
134941,-37.817069000000004,144.961828,Optus Site Minicell - Collins & Queen 379 Collins St MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
134980,-37.818218,144.96070500000002,Optus Sire Minicell - Market & Flinders 50 Market St MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
134990,-37.809884999999994,144.963286,Optus Site Museum Station Cnr Latrobe and Elizabeth Sts MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
135009,-37.815196,144.96296999999998,Optus Site Commonwealth Bank 385 Bourke Street MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
135011,-37.812799,144.954686,Optus Site CGU Centre 485 Latrobe Street MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
135045,-37.811928,144.956414,Optus Site Flagstaff Station 433 Latrobe Street MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
135073,-37.816010999999996,144.972058,Optus Site Minicell-Flinders & Exhibition 82 Flinders Street MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
135143,-37.814431,144.954653,Optus Site Minicell - Lonsdale & King 600-610 Lonsdale St MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
135213,-37.810382000000004,144.971223,Optus Site TAC Building 222 Exhibition Street MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
135231,-37.816466999999996,144.958334,Optus Site BHP House 140 William Street MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
135237,-37.815777000000004,144.970508,Optus Site BHP Petroleum Plaza 120 Collins Street MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
135253,-37.812578,144.96531399999998,Optus Site Minicell - Little Bourke & Swa Ltl Bourke & Swanston St MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
135306,-37.81607,144.957254,Optus Site Minicell - Bourke & William 121 William St MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
135330,-37.814398,144.96632,Optus Site Minicell - Town Hall 134-142 Swanston Street MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
135390,-37.813963,144.957301,Optus Site Minicell - Lonsdale & William Lonsdale & William Streets MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
206082,-37.816158,144.96070600000002,Hutchison Site City Queen 2 105 Queen St cnr Lt Collins St MELBOURNE,VIC,2,3000.0,Unknown,,KX3P
301205,-37.817778999999994,144.95596899999998,99 King Street MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
301208,-37.818018,144.964596,1 Elizabeth Street cnr Flinders St MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
301240,-37.812857,144.96843,Optus/Telstra Site cnr Russell & Bourke Sts MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
301361,-37.811627,144.965056,CMTS Site cnr Swanston & Lonsdale Sts MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
301382,-37.816122,144.964421,Optus/Telstra Site cnr Collins & Elizabeth Sts MELBOURNE,VIC,2,3000.0,Unknown,,KX3P
301383,-37.813447,144.966028,Optus Site cnr Bourke & Swanston Sts MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
301386,-37.815488,144.966824,cnr Collins & Swanston Streets Westin Hotel MELBOURNE,VIC,2,3000.0,Unknown,,KX3P
301388,-37.814765,144.969286,Telstra/Optus Site cnr Russell & Collins Sts MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
301393,-37.812088,144.97083600000002,Optus/Telstra Site cnr Bourke & Exhibition Sts MELBOURNE,VIC,2,3000.0,Unknown,,KX3P
301645,-37.816206,144.966634,Optus/Vodafone Site 55 Swanston Walk MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
301658,-37.819471,144.960069,Optus Site 1 William St MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
301895,-37.810219000000004,144.9618,Optus/Telstra Site cnr Elizabeth & La Trobe Sts MELBOURNE,VIC,2,3000.0,Within 100 meters,,KX3P
301896,-37.809538,144.964091,Optus/Telstra Site cnr Swanston & La Trobe Sts MELBOURNE,VIC,2,3000.0,Within 100 meters,,KX3P
302516,-37.812653000000005,144.956622,Nubrick House 271 William Street MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
302517,-37.811251,144.964157,Legacy House 283 Swanston Street MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
302571,-37.81354,144.971421,Level 6 / 161 Collins Street MELBOURNE,VIC,2,3000.0,Within 100 meters,,KX3P
302854,-37.809969,144.97078,Telstra/Vodafone Site 43 Lonsdale St MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
302923,-37.809264,144.971708,Casselden Place 2 Lonsdale St MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
303255,-37.812711,144.959971,Optus Site 250 Queen St MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
303652,-37.81653,144.961967,394 Collins St MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
303676,-37.815387,144.96881499999998,161 Collins St Carpark MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
303710,-37.81751,144.959237,Vodafone Microcell Cnr Collins & William Streets MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
303712,-37.814257,144.96337,Vodafone Microcell Cnr Bourke & Elizabeth Streets MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
304060,-37.809041,144.97182800000002,Level 33 Casselden Place 235 Spring Street MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
304363,-37.820744,144.955485,Hotham Hotel 2 Spencer St MELBOURNE,VIC,2,3000.0,Unknown,,KX3P
304364,-37.817483,144.959445,Optus Site 454 Collins St MELBOURNE,VIC,2,3000.0,Unknown,,KX3P
304365,-37.812934000000006,144.952075,Optus Site 318-326 Spencer St MELBOURNE,VIC,2,3003.0,Unknown,,KX3P
304366,-37.812343,144.954135,Optus Site 450 LaTrobe St MELBOURNE,VIC,2,3003.0,Unknown,,KX3P
304368,-37.811533000000004,144.972614,Optus Site 10 Bourke St MELBOURNE,VIC,2,3000.0,Unknown,,KX3P
304369,-37.813573,144.97340400000002,Optus Site 14-16 Collins St MELBOURNE,VIC,2,3000.0,Unknown,,KX3P
304370,-37.815793,144.958295,Optus Site AMP Square 121 William St MELBOURNE,VIC,2,3000.0,Unknown,,KX3P
304371,-37.818474,144.956805,Optus Site 539-557 Collins St MELBOURNE,VIC,2,3000.0,Unknown,,KX3P
304434,-37.814395000000005,144.963537,S/E Cnr Bourke & Elizabeth Sts MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
304562,-37.815891,144.958861,140 William Street MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
304744,-37.815195,144.974409,Optus microcell - Cnr Spring St & Flinders St MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
305394,-37.815371,144.973076,8 Exhibition St MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
306249,-37.818151,144.96081,BTS Site 38465D Treasure Funds House 50 Market Street MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
34603,-37.816299,144.95902,Telstra/Optus Site 114 William St MELBOURNE,VIC,2,3000.0,Unknown,,KX3P
404118,-37.814904999999996,144.95491299999998,225 King Street MELBOURNE,VIC,2,3000.0,Within 10 meters,16.0,KX3P
41660,-37.816209,144.961635,100 Queen Street MELBOURNE,VIC,2,3000.0,Within 10 meters,12.0,KX3P
42987,-37.812379,144.956402,Upper Flagstaff Station MELBOURNE,VIC,2,3000.0,Unknown,,KX3P
44101,-37.816821999999995,144.963209,333 Collins Street MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
44125,-37.815309,144.96947600000001,Hyatt Hotel 123 Collins St MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
461423,-37.809356,144.970729,50 Lonsdale St MELBOURNE,VIC,2,3000.0,Within 10 meters,28.0,KX3P
47316,-37.811313,144.972958,Parliament Underground Station MELBOURNE,VIC,2,3000.0,Unknown,,KX3P
49630,-37.810641,144.97053400000001,222 Exhibition St MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
49873,-37.810911,144.96268999999998,cnr Elizabeth & La Trobe Streets MELBOURNE,VIC,2,3000.0,Unknown,,KX3P
50151,-37.810065,144.963281,Optus/Vodafone Site 6/211 La Trobe St MELBOURNE,VIC,2,3000.0,Unknown,,KX3P
50226,-37.811398,144.972672,20-30 Bourke St MELBOURNE,VIC,2,3000.0,Unknown,,KX3P
50669,-37.816891,144.961957,Optus/Telstra Site cnr Collins & Queen Sts MELBOURNE,VIC,2,3000.0,Unknown,,KX3P
50686,-37.813545,144.97170500000001,Optus/Telstra Site cnr Collins & Exhibition Sts MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
51576,-37.814265,144.971685,CMTS Site Penthouse 71 Collins St MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
51590,-37.815992,144.961028,454 Collins Street MELBOURNE,VIC,2,3000.0,Unknown,,KX3P
51622,-37.814484,144.9635,Optus/Vodafone Site 341-357 Bourke St MELBOURNE,VIC,2,3000.0,Unknown,,KX3P
51718,-37.813167,144.965468,Vodafone Site 195 Swanston St MELBOURNE,VIC,2,3000.0,Within 10 meters,13.0,KX3P
53003,-37.81922,144.958485,452-470 Flinders Street MELBOURNE,VIC,2,3000.0,Unknown,6.0,KX3P
9001289,-37.815858,144.954818,Citipower House 628 Bourke Street MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
9002262,-37.816217,144.97092800000001,Wilson Parking 114 Flinders Street MELBOURNE,VIC,2,3000.0,Within 10 meters,10.0,KX3P
9009843,-37.810269,144.96986299999998,Optus Minicell SE Cnr Exhibition St and Lonsdale St MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
9009844,-37.819101,144.954229,Optus Minicell NE Cnr Spencer St and Collins St MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
9009845,-37.811021999999994,144.959234,Optus Minicell SE Cnr Queen St and Latrobe St MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
9013096,-37.81215,144.96195500000002,Optus Rooftop Site Mitchell House 283 Elizabeth Street MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
9014605,-37.816496,144.96509,Customer Site 271 Collins Street MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
9014611,-37.815296000000004,144.958369,Optus Rooftop Site 520 Bourke Street MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
9014989,-37.816309999999994,144.964351,Optus Rooftop Site 287 Collins Street MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
9015396,-37.817386,144.96123,Telstra IBC 401 Collins St MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
9026103,-37.813175,144.952919,Vodafone Site Building C William Angliss Institute 555 La Trobe Street MELBOURNE VIC 3000,VIC,2,3000.0,Within 10 meters,,KX3P
