IP,Latitude,Longitude,PostCode,City,State,Country
1.120.158.1,-27.6081,151.7545,4350.0,Toowoomba,QLD,AU
1.120.159.1,-27.3981,152.958,4054.0,Arana Hills,QLD,AU
1.120.160.1,-27.5026,152.9501,4069.0,Chapel Hill,QLD,AU
1.120.161.1,-27.7,153.15,4133.0,Waterford,QLD,AU
1.120.162.1,-27.5133,152.9752,4068.0,Chelmer,QLD,AU
1.120.163.1,-21.0405,149.1849,4740.0,Dolphin Heads,QLD,AU
1.120.166.1,-27.9553,153.3991,4215.0,Southport,QLD,AU
1.120.167.1,-24.0855,151.6282,,Rodds Bay,QLD,AU
1.120.168.1,-26.7179,153.0547,4556.0,Sippy Downs,QLD,AU
1.120.169.1,-27.4833,153.0,4101.0,West End,QLD,AU
1.120.170.1,-16.923,145.7663,4870.0,Cairns,QLD,AU
1.120.176.1,-21.1667,149.1,4740.0,Mackay,QLD,AU
1.120.184.1,-26.6535,153.1012,4558.0,Maroochydore,QLD,AU
1.121.0.1,-27.5006,153.035,,Woolloongabba,QLD,AU
1.121.17.1,-26.656,153.092,,Sunshine Coast,,AU
1.121.97.1,-27.5649,153.0665,4109.0,Sunnybank,QLD,AU
1.121.100.1,-26.5333,152.95,4561.0,Ninderry,QLD,AU
1.121.103.1,-26.7007,152.9935,4555.0,Palmwoods,QLD,AU
1.121.105.1,-27.1611,152.9594,4505.0,Burpengary,QLD,AU
1.121.107.1,-27.2435,153.0238,4509.0,North Lakes,QLD,AU
1.121.109.1,-27.480999999999998,153.04399999999998,4169.0,Kangaroo Point,QLD,AU
1.121.110.1,-27.5167,153.25,4160.0,Wellington Point,QLD,AU
1.121.111.1,-26.8588,152.9614,4519.0,Beerwah,QLD,AU
1.121.112.1,-26.7817,153.1165,4551.0,Caloundra,QLD,AU
1.121.114.1,-27.4616,153.0751,4170.0,Morningside,QLD,AU
1.121.117.1,-27.5,153.1167,4153.0,Belmont,QLD,AU
1.121.118.1,-27.5662,152.7784,4306.0,Chuwar,QLD,AU
1.121.122.1,-27.6233,153.0479,4116.0,Stretton,QLD,AU
1.121.123.1,-27.6208,153.0058,4110.0,Pallara,QLD,AU
1.121.125.1,-27.3456,152.8718,4520.0,Yugar,QLD,AU
1.121.126.1,-27.9788,153.4266,4217.0,Main Beach,QLD,AU
1.121.127.1,-27.4833,153.2167,4159.0,Birkdale,QLD,AU
1.121.128.1,-27.6605,152.879,4300.0,Brookwater,QLD,AU
1.121.129.1,-27.4478,153.1317,4174.0,Hemmant,QLD,AU
1.121.131.1,-27.5167,153.1833,4157.0,Capalaba,QLD,AU
1.121.136.1,-27.5344,153.0246,4105.0,Moorooka,QLD,AU
1.121.140.1,-27.5262,153.0605,4121.0,Brisbane,QLD,AU
1.121.141.1,-26.3989,152.8756,4563.0,Cooroy Mountain,QLD,AU
1.121.144.1,-27.4724,153.0947,4170.0,Norman Park,QLD,AU
1.121.146.1,-26.5845,153.0947,4564.0,Mudjimba,QLD,AU
1.121.149.1,-27.8667,152.9833,4285.0,Cedar Grove,QLD,AU
1.121.150.1,-26.7844,153.0922,4551.0,Little Mountain,QLD,AU
1.121.152.1,-27.4765,152.9966,4066.0,Brisbane,QLD,AU
1.121.154.1,-28.1407,153.45,4223.0,Currumbin,QLD,AU
1.121.156.1,-24.8542,152.2352,4670.0,Bundaberg,QLD,AU
1.121.157.1,-28.1124,153.3964,4227.0,Varsity Lakes,QLD,AU
1.121.159.1,-25.3,152.8333,4655.0,Pialba,QLD,AU
1.121.160.1,-27.6633,153.0038,4118.0,Forestdale,QLD,AU
1.121.163.1,-27.7833,153.2667,4208.0,Ormeau,QLD,AU
1.121.165.1,-27.3397,153.0292,4018.0,Fitzgibbon,QLD,AU
1.121.167.1,-27.4455,152.99200000000002,4060.0,Ashgrove,QLD,AU
1.121.169.1,-27.5393,153.099,4122.0,Brisbane,QLD,AU
1.121.176.1,-42.9833,147.1,7109.0,Grove,TAS,AU
1.121.192.1,-27.9833,153.1667,4275.0,Canungra,QLD,AU
1.121.200.1,-38.1462,145.9406,3820.0,Warragul,VIC,AU
1.121.204.1,-37.7333,144.8,3021.0,Saint Albans,VIC,AU
1.122.0.1,-34.9286,138.6,,Adelaide,SA,AU
1.122.1.1,-31.953000000000003,115.85700000000001,,Perth,WA,AU
1.122.23.1,-33.8675,151.207,,Sydney,NSW,AU
1.122.32.1,-31.9344,115.8716,6050.0,Mount Lawley,WA,AU
1.122.33.1,-32.05,115.7667,6160.0,Fremantle,WA,AU
1.122.34.1,-31.9674,115.8621,6000.0,Perth,WA,AU
1.122.35.1,-31.9344,115.7617,6015.0,City Beach,WA,AU
1.122.38.1,-31.7813,115.9896,6069.0,Ellenbrook,WA,AU
1.122.45.1,-31.8276,115.865,6064.0,Marangaroo,WA,AU
1.122.46.1,-31.9386,115.7921,6014.0,Wembley,WA,AU
1.122.47.1,-31.8406,115.8955,6066.0,Ballajura,WA,AU
1.122.48.1,-31.8882,115.8719,6059.0,Dianella,WA,AU
1.122.50.1,-31.9035,115.90899999999999,6062.0,Morley,WA,AU
1.122.51.1,-32.1066,115.959,6110.0,Southern River,WA,AU
1.122.53.1,-32.05,115.9833,6109.0,Maddington,WA,AU
1.122.55.1,-32.0332,115.8126,6154.0,Myaree,WA,AU
1.122.56.1,-31.875,115.8284,6021.0,Balcatta,WA,AU
1.122.58.1,-31.8733,115.899,6062.0,Noranda,WA,AU
1.122.59.1,-32.058,115.9181,6155.0,Canning Vale,WA,AU
1.122.60.1,-32.3289,115.8305,6171.0,Baldivis,WA,AU
1.122.61.1,-31.7325,115.7977,6065.0,Tapping,WA,AU
1.122.62.1,-31.930999999999997,115.8949,6051.0,Maylands,WA,AU
1.122.63.1,-31.6304,115.6864,6038.0,Alkimos,WA,AU
1.122.67.1,-31.9587,115.8711,6004.0,Perth,WA,AU
1.122.68.1,-31.9397,115.8701,6003.0,Highgate,WA,AU
1.122.69.1,-32.06,115.955,6108.0,Thornlie,WA,AU
1.122.70.1,-31.901999999999997,115.8455,6060.0,Perth,WA,AU
1.122.72.1,-31.855,115.8399,6061.0,Westminster,WA,AU
1.122.73.1,-32.080999999999996,116.0054,6110.0,Gosnells,WA,AU
1.122.78.1,-32.0525,115.8878,6155.0,Willetton,WA,AU
1.122.85.1,-32.221,116.009,6122.0,Byford,WA,AU
1.122.95.1,-31.8273,115.9742,6055.0,Henley Brook,WA,AU
1.122.96.1,-31.8958,115.7643,6019.0,Scarborough,WA,AU
1.122.106.1,-31.9172,115.93799999999999,6054.0,Bassendean,WA,AU
1.122.111.1,-31.6962,115.805,6031.0,Carramar,WA,AU
1.122.115.1,-31.8694,115.7571,6029.0,Trigg,WA,AU
1.122.124.1,-31.9587,115.904,6100.0,Lathlain,WA,AU
1.122.126.1,-31.9483,115.819,6008.0,Subiaco,WA,AU
1.122.169.1,-32.0249,115.802,6156.0,Perth,WA,AU
1.122.177.1,-31.9113,115.8892,6052.0,Bedford,WA,AU
1.122.184.1,-31.9147,115.8489,6050.0,Coolbinia,WA,AU
1.122.186.1,-31.807,115.7404,6025.0,Hillarys,WA,AU
1.122.209.1,-31.9628,115.9443,6105.0,Cloverdale,WA,AU
1.122.224.1,-32.0397,115.8678,6148.0,Rossmoyne,WA,AU
1.122.230.1,-32.0976,115.8192,6163.0,Perth,WA,AU
1.122.239.1,-31.8523,115.7826,6020.0,Carine,WA,AU
1.122.241.1,-32.0278,115.7833,6157.0,Bicton,WA,AU
1.122.242.1,-31.9796,115.7823,6010.0,Perth,WA,AU
1.122.246.1,-31.9485,115.8268,6904.0,Subiaco,WA,AU
1.122.254.1,-31.980999999999998,115.8696,6151.0,Perth,WA,AU
1.123.0.1,-34.8833,138.55,5011.0,Woodville,SA,AU
1.123.1.1,-34.9117,138.6198,5069.0,Stepney,SA,AU
1.123.2.1,-34.9287,138.5986,5000.0,Adelaide,SA,AU
1.123.3.1,-34.8793,138.6356,5087.0,Klemzig,SA,AU
1.123.4.1,-34.8159,138.6081,5095.0,Mawson Lakes,SA,AU
1.123.6.1,-34.8685,138.628,5086.0,Greenacres,SA,AU
1.123.8.1,-34.889,138.64700000000002,5070.0,Adelaide,SA,AU
1.123.9.1,-34.9365,138.6272,5065.0,Glenside,SA,AU
1.123.10.1,-34.6906,138.6686,5113.0,Elizabeth,SA,AU
1.123.11.1,-34.8333,138.6333,5098.0,Ingle Farm,SA,AU
1.123.14.1,-34.8333,138.7,5090.0,Hope Valley,SA,AU
1.123.15.1,-34.9547,138.6011,5061.0,Adelaide,SA,AU
1.123.16.1,-34.8833,138.6667,5074.0,Campbelltown,SA,AU
1.123.19.1,-34.9167,138.65,5067.0,Kensington and Norwood,SA,AU
1.123.23.1,-34.9314,138.6463,5068.0,Leabrook,SA,AU
1.123.26.1,-34.9265,138.5703,5031.0,Mile End,SA,AU
1.123.27.1,-35.1327,138.8716,5251.0,Mount Barker,SA,AU
1.123.28.1,-34.5013,139.0462,5353.0,Angaston,SA,AU
1.123.29.1,-34.4682,138.9977,5355.0,Nuriootpa,SA,AU
1.123.31.1,-34.8573,138.6133,5085.0,Adelaide,SA,AU
1.123.34.1,-34.7006,138.7096,5114.0,Craigmore,SA,AU
1.123.35.1,-35.0382,138.5163,5049.0,Seacliff,SA,AU
1.123.36.1,-37.5939,140.3495,5280.0,Millicent,SA,AU
1.123.37.1,-34.7263,135.8744,5606.0,Port Lincoln,SA,AU
1.123.38.1,-34.95,138.55,5038.0,Plympton,SA,AU
1.123.39.1,-34.6,138.6,5501.0,Lewiston,SA,AU
1.123.40.1,-34.7955,138.6694,5096.0,Para Hills,SA,AU
1.123.64.1,-34.7302,135.85,,Port Lincoln,SA,AU
1.123.132.1,-34.7194,138.6771,5112.0,Elizabeth,SA,AU
1.123.134.1,-34.9,138.5333,5023.0,Findon,SA,AU
1.123.135.1,-34.8759,138.615,5083.0,Broadview,SA,AU
1.123.136.1,-34.9106,138.5605,5031.0,Torrensville,SA,AU
1.123.138.1,-34.9,138.5167,5023.0,Seaton,SA,AU
1.123.139.1,-34.9167,138.6667,5072.0,Magill,SA,AU
1.123.146.1,-34.949,138.6619,5066.0,Beaumont,SA,AU
1.123.152.1,-34.8702,138.6999,5076.0,Athelstone,SA,AU
1.123.155.1,-34.7833,138.7333,5125.0,Golden Grove,SA,AU
1.123.157.1,-34.85,138.65,5086.0,Oakden,SA,AU
1.123.158.1,-34.775999999999996,138.6531,5109.0,Adelaide,SA,AU
1.123.159.1,-34.9881,138.561,5043.0,Adelaide,SA,AU
1.123.162.1,-34.5962,138.914,5351.0,Lyndoch,SA,AU
1.123.166.1,-35.0076,138.7182,5152.0,Crafers,SA,AU
1.123.168.1,-34.4771,140.571,5333.0,Loxton,SA,AU
1.123.176.1,-35.1939,138.4761,5169.0,Moana,SA,AU
1.124.96.1,-34.8916,138.6589,5073.0,Hectorville,SA,AU
1.124.110.1,-34.9871,138.5367,5044.0,Glengowrie,SA,AU
1.124.120.1,-34.6025,138.749,5118.0,Gawler,SA,AU
1.124.160.1,-34.4222,137.9191,5571.0,Ardrossan,SA,AU
1.125.49.1,-34.7571,138.6082,5108.0,Salisbury,SA,AU
1.125.96.1,-34.7359,138.6872,5112.0,Hillbank,SA,AU
1.125.105.1,-34.918,138.6869,5072.0,Woodforde,SA,AU
1.125.110.1,-34.8333,138.6833,5092.0,Modbury,SA,AU
1.125.216.1,-31.3906,152.8314,2444.0,Port Macquarie,NSW,AU
1.126.64.1,-32.3151,115.7777,6168.0,Hillman,WA,AU
1.126.108.1,-31.8329,115.7759,6023.0,Duncraig,WA,AU
1.126.112.1,-33.3166,115.705,6232.0,Eaton,WA,AU
1.126.192.1,-32.8741,115.927,6215.0,Waroona,WA,AU
1.126.208.1,-37.3355,144.5399,3442.0,Woodend,VIC,AU
1.126.252.1,-32.9278,151.7845,2300.0,Newcastle,NSW,AU
1.126.254.1,-32.5269,115.7217,6210.0,Mandurah,WA,AU
1.127.0.1,-32.2782,115.735,,Rockingham,WA,AU
1.127.32.1,-33.3271,115.6414,6230.0,Bunbury,WA,AU
1.127.40.1,-31.7624,115.7589,6027.0,Heathridge,WA,AU
1.127.50.1,-32.1206,115.8162,6164.0,Yangebup,WA,AU
1.127.96.1,-32.0167,115.95,6107.0,Cannington,WA,AU
1.127.108.1,-31.9111,115.9333,6936.0,Perth,WA,AU
1.127.109.1,-32.1435,115.8653,6164.0,Success,WA,AU
1.127.111.1,-31.9333,115.8333,6831.0,Perth,WA,AU
1.127.112.1,-20.3121,118.6106,6721.0,Port Hedland,WA,AU
1.127.192.1,-32.6298,115.8735,6208.0,Pinjarra,WA,AU
1.128.0.1,-27.471,153.023,,Brisbane,QLD,AU
1.128.32.1,-22.0016,148.0466,4744.0,Moranbah,QLD,AU
1.128.64.1,-18.7356,146.5779,4816.0,Palm Island,QLD,AU
1.128.105.1,-27.0846,152.9511,4510.0,Caboolture,QLD,AU
1.128.109.1,-27.35,152.9833,4035.0,Albany Creek,QLD,AU
1.128.110.1,-27.5333,152.9833,4075.0,Brisbane,QLD,AU
1.128.160.1,-33.7472,150.7444,2747.0,Kingswood,NSW,AU
1.128.176.1,-35.148,138.471,5167.0,Port Noarlunga,SA,AU
1.129.0.1,-37.8826,144.7003,3029.0,Hoppers Crossing,VIC,AU
1.129.32.1,-32.8333,151.3667,2325.0,Cessnock,NSW,AU
1.129.64.1,-33.9667,150.9,2167.0,Glenfield,NSW,AU
1.129.96.1,-33.8591,151.2002,2000.0,Sydney,NSW,AU
1.129.104.1,-33.842,151.2046,2060.0,Sydney,NSW,AU
1.129.105.1,-33.6833,151.0167,2158.0,Sydney,NSW,AU
1.129.107.1,-33.8667,151.1,2137.0,Concord,NSW,AU
1.129.108.1,-33.8612,151.1982,1001.0,Sydney,NSW,AU
1.129.109.1,-33.8833,151.1167,2132.0,Croydon,NSW,AU
1.129.128.1,-34.7479,149.72799999999998,,Goulburn,NSW,AU
1.129.160.1,-28.0003,153.4309,4217.0,Gold Coast,QLD,AU
1.129.224.1,-37.8103,144.9544,3000.0,Melbourne,VIC,AU
1.130.0.1,-37.7002,145.058,,Bundoora (Telstra),,AU
1.132.96.1,-26.6957,153.13299999999998,4575.0,Buddina,QLD,AU
1.132.97.1,-27.4667,153.05,4005.0,New Farm,QLD,AU
1.132.110.1,-27.4178,153.0702,4011.0,Hendra,QLD,AU
1.136.0.1,-38.1414,145.122,,Frankston,,AU
1.136.97.1,-37.75,145.0167,3072.0,Preston,VIC,AU
1.136.104.1,-37.9372,145.0046,3188.0,Melbourne,VIC,AU
1.136.105.1,-37.75,144.9667,3058.0,Coburg,VIC,AU
1.136.106.1,-37.8286,145.0077,3121.0,Melbourne,VIC,AU
1.136.107.1,-37.8333,144.9833,3141.0,South Yarra,VIC,AU
1.136.108.1,-37.6384,144.8074,3428.0,Bulla,VIC,AU
1.136.109.1,-37.8333,145.0667,3124.0,Camberwell,VIC,AU
1.136.111.1,-37.8189,145.1254,3128.0,Melbourne,VIC,AU
1.136.128.1,-32.9333,117.8667,6361.0,Harrismith,WA,AU
1.138.64.1,-37.836,144.9183,3207.0,Melbourne,VIC,AU
1.143.0.1,-37.8692,144.9977,3183.0,Melbourne,VIC,AU
1.143.28.1,-37.6982,145.0597,3083.0,Bundoora,VIC,AU
1.143.29.1,-37.86,144.9717,3182.0,St Kilda,VIC,AU
1.143.30.1,-38.0333,145.35,3806.0,Berwick,VIC,AU
1.143.32.1,-37.8416,145.0177,3142.0,Toorak,VIC,AU
1.143.60.1,-37.8,144.9833,3066.0,Melbourne,VIC,AU
1.143.61.1,-37.8253,144.9522,3006.0,Southbank,VIC,AU
1.143.62.1,-37.7833,144.9667,3054.0,Carlton North,VIC,AU
1.143.63.1,-37.8667,145.0333,3144.0,Malvern,VIC,AU
1.143.64.1,-33.2667,151.4833,2259.0,Wyongah,NSW,AU
1.143.89.1,-32.0674,147.4517,,Wyoming,NSW,AU
1.143.91.1,-33.8614,151.1705,2039.0,Rozelle,NSW,AU
1.143.120.1,-34.2801,146.046,,Griffith,NSW,AU
1.143.128.1,-33.8229,151.0078,2150.0,Parramatta,NSW,AU
1.143.152.1,-27.5667,153.1333,4123.0,Rochedale,QLD,AU
1.143.168.1,-34.9595,138.7309,5141.0,Summertown,SA,AU
1.143.218.1,-32.1461,116.0093,6992.0,Armadale,WA,AU
1.144.24.1,-35.1026,150.6297,2540.0,Sanctuary Point,NSW,AU
1.144.32.1,-37.5667,143.8667,3350.0,Ballarat,VIC,AU
1.144.64.1,-28.9775,153.2497,2471.0,Coraki,NSW,AU
1.144.97.1,-33.8718,151.2271,2011.0,Rushcutters Bay,NSW,AU
1.144.98.1,-33.7615,150.8737,2767.0,Doonside,NSW,AU
1.144.100.1,-28.8133,153.2758,2480.0,Lismore,NSW,AU
1.144.104.1,-33.8333,150.9833,2160.0,Merrylands,NSW,AU
1.144.105.1,-33.8814,151.18,2037.0,Glebe,NSW,AU
1.144.107.1,-33.85,151.0333,2144.0,Auburn,NSW,AU
1.144.108.1,-33.8428,150.9006,2164.0,Wetherill Park,NSW,AU
1.144.109.1,-33.8834,151.1562,2040.0,Leichhardt,NSW,AU
1.144.111.1,-33.8157,151.1668,2066.0,Sydney,NSW,AU
1.144.160.1,-37.7008,144.5603,3338.0,Melton South,VIC,AU
1.144.224.1,-33.4502,151.3137,2250.0,Tascott,NSW,AU
1.145.0.1,-37.9193,145.053,3165.0,Bentleigh East,VIC,AU
1.145.128.1,-38.0702,145.4741,3810.0,Pakenham East,VIC,AU
1.145.224.1,-37.7882,144.93,3031.0,Kensington,VIC,AU
1.146.32.1,-26.0,152.4333,4570.0,Sexton,QLD,AU
1.146.40.1,-31.9555,115.9131,6103.0,Rivervale,WA,AU
1.146.128.1,-37.8333,145.0333,3122.0,Hawthorn,VIC,AU
1.146.192.1,-41.2636,146.32399999999998,7310.0,Melrose,TAS,AU
1.148.0.1,-23.8568,151.2713,4680.0,Gladstone,QLD,AU
1.148.32.1,-30.3833,152.8833,2454.0,Gleniffer,NSW,AU
1.151.0.1,-37.8004,144.5746,3338.0,Eynesbury,VIC,AU
1.152.0.1,-37.7333,145.15,3095.0,Eltham,VIC,AU
1.152.97.1,-37.8248,145.0705,3126.0,Melbourne,VIC,AU
1.152.104.1,-37.6,144.95,3064.0,Craigieburn,VIC,AU
1.152.105.1,-37.75,145.0,3071.0,Thornbury,VIC,AU
1.152.107.1,-37.8149,144.9505,3008.0,Docklands,VIC,AU
1.152.109.1,-37.8064,145.0309,3101.0,Kew,VIC,AU
1.152.160.1,-37.4886,144.5942,3437.0,Gisborne,VIC,AU
1.153.64.1,-33.8974,150.9345,2166.0,Parramatta,NSW,AU
1.154.160.1,-28.3386,152.2951,4373.0,Killarney,QLD,AU
1.155.0.1,-31.8111,115.8281,6065.0,Madeley,WA,AU
1.155.32.1,-33.7103,150.3753,2782.0,Wentworth Falls,NSW,AU
1.155.224.1,-37.7876,145.1489,3109.0,Doncaster East,VIC,AU
1.156.48.1,-38.1535,144.3581,3220.0,Geelong,VIC,AU
1.158.192.1,-28.8949,153.4304,2477.0,Tuckombil,NSW,AU
58.160.33.1,-27.4227,153.0335,4030.0,Wooloowin,QLD,AU
58.160.37.1,-27.4167,152.9833,4051.0,Gaythorne,QLD,AU
58.160.53.1,-33.6833,151.1,2077.0,Asquith,NSW,AU
58.160.56.1,-33.8708,151.2792,2030.0,Dover Heights,NSW,AU
58.160.58.1,-33.9202,151.2224,2033.0,Kensington,NSW,AU
58.160.60.1,-33.7253,150.7926,2770.0,Willmot,NSW,AU
58.160.64.1,-34.7994,138.6871,5127.0,Wynn Vale,SA,AU
58.160.65.1,-34.7995,138.7115,5126.0,Surrey Downs,SA,AU
58.160.66.1,-34.8116,138.7069,5097.0,Redwood Park,SA,AU
58.160.68.1,-34.8102,138.7357,5091.0,Banksia Park,SA,AU
58.160.74.1,-34.7657,138.7138,5125.0,Greenwith,SA,AU
58.160.128.1,-34.9026,138.5791,5007.0,Bowden,SA,AU
58.160.129.1,-34.9006,138.5702,5008.0,Adelaide,SA,AU
58.160.131.1,-34.9014,138.575,5007.0,Hindmarsh,SA,AU
58.160.133.1,-34.8917,138.5773,5008.0,Renown Park,SA,AU
58.160.136.1,-34.861999999999995,138.6766,5075.0,Adelaide,SA,AU
58.160.145.1,-34.8977,138.5542,5009.0,Allenby Gardens,SA,AU
58.160.163.1,-34.8944,138.5782,5007.0,Brompton,SA,AU
58.160.170.1,-34.7825,138.6108,5107.0,Parafield Gardens,SA,AU
58.160.193.1,-34.9203,138.4944,5022.0,Henley Beach,SA,AU
58.160.194.1,-35.0333,138.5667,5047.0,Darlington,SA,AU
58.160.196.1,-34.9808,138.515,5045.0,Glenelg,SA,AU
58.160.198.1,-34.9259,138.4955,5022.0,Henley Beach South,SA,AU
58.160.199.1,-34.9885,138.5398,5043.0,Morphettville,SA,AU
58.160.201.1,-34.9754,138.5798,5039.0,Edwardstown,SA,AU
58.160.224.1,-27.4255,153.001,4051.0,Alderley,QLD,AU
58.160.234.1,-27.4029,153.0297,4031.0,Kedron,QLD,AU
58.160.240.1,-27.3827,152.9919,4053.0,McDowall,QLD,AU
58.161.0.1,-37.7976,145.0538,3102.0,Kew East,VIC,AU
58.161.3.1,-37.8167,145.05,3123.0,Hawthorn,VIC,AU
58.161.4.1,-37.8,145.0667,3102.0,Kew East,VIC,AU
58.161.10.1,-37.769,145.0431,3079.0,Ivanhoe,VIC,AU
58.161.11.1,-37.7667,145.05,3079.0,Ivanhoe East,VIC,AU
58.161.12.1,-37.7464,145.0771,3084.0,Viewbank,VIC,AU
58.161.13.1,-37.7909,145.0939,3104.0,Balwyn North,VIC,AU
58.161.18.1,-37.7251,145.0935,3085.0,Yallambie,VIC,AU
58.161.21.1,-37.8333,144.9667,3205.0,Melbourne,VIC,AU
58.161.23.1,-37.75,145.0667,3084.0,Rosanna,VIC,AU
58.161.26.1,-37.5782,145.3074,3761.0,Saint Andrews,VIC,AU
58.161.28.1,-37.9167,145.2,3170.0,Mulgrave,VIC,AU
58.161.33.1,-37.7883,145.1237,3108.0,Doncaster,VIC,AU
58.161.34.1,-37.8667,145.0667,3146.0,Glen Iris,VIC,AU
58.161.35.1,-37.85,145.0167,3143.0,Armadale,VIC,AU
58.161.50.1,-37.9023,145.0173,3187.0,Brighton East,VIC,AU
58.161.56.1,-37.7167,145.1167,3088.0,Greensborough,VIC,AU
58.161.76.1,-37.7667,145.0833,3105.0,Bulleen,VIC,AU
58.161.80.1,-37.7667,145.1167,3107.0,Templestowe Lower,VIC,AU
58.161.82.1,-37.9,145.1167,3166.0,Oakleigh East,VIC,AU
58.161.91.1,-37.9167,145.1167,3168.0,Clayton,VIC,AU
58.161.93.1,-37.9333,145.1167,3169.0,Clayton South,VIC,AU
58.161.95.1,-37.8771,145.1294,3149.0,Mount Waverley,VIC,AU
58.161.108.1,-37.8833,145.05,3145.0,East Malvern,VIC,AU
58.161.113.1,-37.9827,145.1342,3172.0,Dingley,VIC,AU
58.161.116.1,-37.3507,144.743,3434.0,Romsey,VIC,AU
58.161.128.1,-37.7984,144.9783,3065.0,Fitzroy,VIC,AU
58.161.131.1,-37.8895,145.0581,3163.0,Carnegie,VIC,AU
58.161.132.1,-37.8333,145.0833,3126.0,Canterbury,VIC,AU
58.161.135.1,-37.8667,145.0,3183.0,Balaclava,VIC,AU
58.161.136.1,-37.8117,145.08100000000002,3103.0,Balwyn,VIC,AU
58.161.138.1,-37.872,145.0216,3161.0,Caulfield South,VIC,AU
58.161.141.1,-37.8167,145.1,3127.0,Surrey Hills,VIC,AU
58.161.144.1,-37.9181,145.0354,3204.0,Bentleigh,VIC,AU
58.161.156.1,-37.9,145.0833,3166.0,Oakleigh,VIC,AU
58.161.163.1,-37.9,145.0667,3163.0,Murrumbeena,VIC,AU
58.161.193.1,-37.977,145.2587,3802.0,Endeavour Hills,VIC,AU
58.161.195.1,-37.8891,145.174,3150.0,Glen Waverley,VIC,AU
58.161.198.1,-37.9833,145.2,3175.0,Dandenong,VIC,AU
58.161.199.1,-38.05,145.3667,3807.0,Beaconsfield,VIC,AU
58.161.208.1,-31.7747,115.7627,6027.0,Beldon,WA,AU
58.161.216.1,-32.0054,115.7638,6912.0,Mosman Park,WA,AU
58.161.234.1,-37.7167,145.0,3073.0,Reservoir,VIC,AU
58.161.239.1,-37.7204,145.0698,3085.0,Macleod,VIC,AU
58.162.20.1,-35.3516,149.1592,2609.0,Symonston,ACT,AU
58.162.32.1,-19.2451,146.7945,4810.0,Townsville,QLD,AU
58.162.40.1,-32.95,151.6667,2285.0,Cardiff,NSW,AU
58.162.42.1,-33.9522,150.8995,2170.0,Prestons,NSW,AU
58.162.45.1,-33.7588,150.9929,2153.0,Baulkham Hills,NSW,AU
58.162.46.1,-29.75,116.4333,6616.0,Latham,WA,AU
58.162.47.1,-33.8786,151.1969,2007.0,Ultimo,NSW,AU
58.162.48.1,-37.8,144.9667,3053.0,Carlton,VIC,AU
